"","date","position","name","role","die","MVP","score"
"1",2019-09-27,1,"Mina","女巫",5,0,0
"2",2019-09-27,2,"愷樂","獵人",6,0,0
"3",2019-09-27,3,"風田","平民",0,0,0
"4",2019-09-27,4,"偉晉","預言家",2,0,0
"5",2019-09-27,5,"李洛洋","平民",0,0,0
"6",2019-09-27,6,"沈建宏","騎士",3,0,0
"7",2019-09-27,7,"琳妲","狼人",4,0,1
"8",2019-09-27,8,"小豬","狼人",0,0,1
"9",2019-09-27,9,"小賴","狼王",1,0,1
"10",2019-09-27,10,"陳零九","平民",0,1,0
"11",2019-09-26,1,"小豬","狼人",7,0,0
"12",2019-09-26,2,"婁峻碩","獵人",5,0,1
"13",2019-09-26,3,"邱鋒澤","預言家",2,0,1
"14",2019-09-26,4,"趙正平","平民",0,0,1
"15",2019-09-26,5,"愷樂","騎士",0,0,1
"16",2019-09-26,6,"斯亞","女巫",3,0,1
"17",2019-09-26,7,"陳零九","平民",0,0,1
"18",2019-09-26,8,"黃沐妍","狼人",6,0,0
"19",2019-09-26,9,"偉晉","平民",1,0,1
"20",2019-09-26,10,"嘻小瓜","狼王",4,1,0
"21",2019-09-25,1,"偉晉","平民",0,0,1
"22",2019-09-25,2,"趙正平","平民",2,0,1
"23",2019-09-25,3,"愷樂","騎士",3,0,1
"24",2019-09-25,4,"陳零九","狼人",4,0,0
"25",2019-09-25,5,"黃沐妍","狼人",1,0,0
"26",2019-09-25,6,"嘻小瓜","預言家",0,0,1
"27",2019-09-25,7,"婁峻碩","獵人",0,0,1
"28",2019-09-25,8,"斯亞","狼王",6,0,0
"29",2019-09-25,9,"小豬","平民",5,0,1
"30",2019-09-25,10,"邱鋒澤","女巫",0,0,1
"31",2019-09-24,1,"大根","狼王",4,0,0
"32",2019-09-24,2,"愷樂","平民",0,0,1
"33",2019-09-24,3,"焦凡凡","狼人",6,0,0
"34",2019-09-24,4,"小豬","狼人",2,0,0
"35",2019-09-24,5,"田亞霍","獵人",0,0,1
"36",2019-09-24,6,"邱鋒澤","騎士",5,0,1
"37",2019-09-24,7,"偉晉","平民",0,0,1
"38",2019-09-24,8,"小賴","平民",0,1,1
"39",2019-09-24,9,"婁峻碩","預言家",1,0,1
"40",2019-09-24,10,"阿虎","女巫",3,0,1
"41",2019-09-23,1,"婁峻碩","獵人",1,0,0
"42",2019-09-23,2,"阿虎","獵人",4,0,0
"43",2019-09-23,3,"大根","狼人",2,0,1
"44",2019-09-23,4,"愷樂","獵人",5,0,0
"45",2019-09-23,5,"小賴","獵人",8,0,0
"46",2019-09-23,6,"邱鋒澤","狼人",6,0,1
"47",2019-09-23,7,"焦凡凡","獵人",3,0,0
"48",2019-09-23,8,"田亞霍","獵人",7,0,0
"49",2019-09-23,9,"偉晉","狼人",0,1,1
"50",2019-09-23,10,"小豬","獵人",9,0,0
"51",2019-09-19,1,"小賴","獵人",6,0,1
"52",2019-09-19,2,"阿虎","狼人",5,0,0
"53",2019-09-19,3,"愷樂","獵人",7,0,1
"54",2019-09-19,4,"焦凡凡","獵人",0,0,1
"55",2019-09-19,5,"偉晉","狼人",9,1,0
"56",2019-09-19,6,"田亞霍","狼人",3,0,0
"57",2019-09-19,7,"邱鋒澤","獵人",4,0,1
"58",2019-09-19,8,"小豬","獵人",2,0,1
"59",2019-09-19,9,"大根","獵人",1,0,1
"60",2019-09-19,10,"婁峻碩","獵人",8,0,1
"61",2019-09-18,1,"小豬","騎士",5,0,1
"62",2019-09-18,2,"婁峻碩","平民",0,0,1
"63",2019-09-18,3,"偉晉","狼人",4,0,0
"64",2019-09-18,4,"愷樂","預言家",2,0,1
"65",2019-09-18,5,"趙正平","狼王",6,0,0
"66",2019-09-18,6,"梁以辰","平民",3,0,1
"67",2019-09-18,7,"黃得軒","獵人",0,0,1
"68",2019-09-18,8,"陳零九","女巫",0,0,1
"69",2019-09-18,9,"葉宗豪","狼人",1,0,0
"70",2019-09-18,10,"大根","平民",0,0,1
"71",2019-09-17,1,"婁峻碩","狼人",5,0,0
"72",2019-09-17,2,"大根","狼王",0,0,0
"73",2019-09-17,3,"陳零九","騎士",4,1,1
"74",2019-09-17,4,"鍾訓民","平民",2,0,1
"75",2019-09-17,5,"偉晉","預言家",6,0,1
"76",2019-09-17,6,"愷樂","女巫",3,0,1
"77",2019-09-17,7,"賴彥蓉","平民",0,0,1
"78",2019-09-17,8,"小豬","平民",0,0,1
"79",2019-09-17,9,"梁以辰","狼人",1,0,0
"80",2019-09-17,10,"趙正平","獵人",0,0,1
"81",2019-09-16,1,"陳零九","狼王",2,1,1
"82",2019-09-16,2,"邱鋒澤","騎士",6,0,0
"83",2019-09-16,3,"嘻小瓜","獵人",7,0,0
"84",2019-09-16,4,"愷樂","平民",0,0,0
"85",2019-09-16,5,"偉晉","狼人",5,0,1
"86",2019-09-16,6,"阿虎","女巫",3,0,0
"87",2019-09-16,7,"張語噥","平民",0,0,0
"88",2019-09-16,8,"小豬","狼人",0,0,1
"89",2019-09-16,9,"林愷倫","平民",1,0,0
"90",2019-09-16,10,"婁峻碩","預言家",4,0,0
"91",2019-09-12,1,"陳零九","女巫",6,1,1
"92",2019-09-12,2,"邱鋒澤","平民",0,0,1
"93",2019-09-12,3,"紀卜心","獵人",0,0,1
"94",2019-09-12,4,"斯亞","狼王",7,0,0
"95",2019-09-12,5,"詹子晴","狼人",5,0,0
"96",2019-09-12,6,"愷樂","平民",0,0,1
"97",2019-09-12,7,"偉晉","狼人",4,0,0
"98",2019-09-12,8,"小豬","平民",0,0,1
"99",2019-09-12,9,"吳心緹","平民",0,0,1
"100",2019-09-12,10,"荳荳","騎士",1,0,1
"101",2019-09-12,11,"宇辰","預言家",3,0,1
"102",2019-09-12,12,"小賴","狼人",2,0,0
"103",2019-09-11,1,"愷樂","獵人",5,0,0
"104",2019-09-11,2,"張語噥","騎士",3,0,0
"105",2019-09-11,3,"阿虎","狼人",0,0,1
"106",2019-09-11,4,"婁峻碩","預言家",1,0,0
"107",2019-09-11,5,"林愷倫","平民",0,1,0
"108",2019-09-11,6,"陳零九","平民",0,0,0
"109",2019-09-11,7,"偉晉","平民",0,0,0
"110",2019-09-11,8,"嘻小瓜","女巫",2,0,0
"111",2019-09-11,9,"邱鋒澤","狼人",4,0,1
"112",2019-09-11,10,"小豬","狼王",0,0,1
"113",2019-09-10,1,"小賴","騎士",0,0,1
"114",2019-09-10,2,"風田","平民",2,0,1
"115",2019-09-10,3,"紀卜心","狼人",7,0,0
"116",2019-09-10,4,"凱希","預言家",1,0,1
"117",2019-09-10,5,"莎莎","獵人",0,0,1
"118",2019-09-10,6,"小豬","平民",6,0,1
"119",2019-09-10,7,"大飛","平民",0,0,1
"120",2019-09-10,8,"吳心緹","狼王",4,0,0
"121",2019-09-10,9,"偉晉","狼人",3,1,0
"122",2019-09-10,10,"陳零九","女巫",5,0,1
"123",2019-09-06,1,"凱希","騎士",0,0,0
"124",2019-09-06,2,"莎莎","狼人",0,0,1
"125",2019-09-06,3,"大飛","狼人",6,0,1
"126",2019-09-06,4,"風田","女巫",2,0,0
"127",2019-09-06,5,"偉晉","平民",1,0,0
"128",2019-09-06,6,"陳零九","平民",5,0,0
"129",2019-09-06,7,"小豬","狼王",3,0,1
"130",2019-09-06,8,"紀卜心","獵人",0,1,0
"131",2019-09-06,9,"吳心緹","女巫",4,0,0
"132",2019-09-06,10,"小賴","平民",7,0,0
"133",2019-09-05,1,"愷樂","平民",1,0,1
"134",2019-09-05,2,"曲獻平","女巫",0,0,1
"135",2019-09-05,3,"大飛","預言家",2,0,1
"136",2019-09-05,4,"陳敬宣","狼人",6,0,0
"137",2019-09-05,5,"偉晉","雪狼",3,0,0
"138",2019-09-05,6,"張語噥","平民",0,0,1
"139",2019-09-05,7,"小豬","平民",0,0,1
"140",2019-09-05,8,"篠崎泫","騎士",0,1,1
"141",2019-09-05,9,"李建軒","獵人",4,0,1
"142",2019-09-05,10,"阿虎","狼人",5,0,0
"143",2019-09-04,1,"大飛","狼人",0,1,1
"144",2019-09-04,2,"阿虎","平民",3,0,0
"145",2019-09-04,3,"李建軒","平民",7,0,0
"146",2019-09-04,4,"愷樂","狼人",5,0,1
"147",2019-09-04,5,"曲獻平","女巫",4,0,0
"148",2019-09-04,6,"偉晉","預言家",0,0,0
"149",2019-09-04,7,"陳敬宣","獵人",6,0,0
"150",2019-09-04,8,"張語噥","狼王",1,0,1
"151",2019-09-04,9,"篠崎泫","平民",2,0,0
"152",2019-09-04,10,"小豬","騎士",0,0,0
"153",2019-09-03,1,"凱希","禁言長老",8,0,0
"154",2019-09-03,2,"愷樂","平民",4,0,0
"155",2019-09-03,3,"大根","狼人",0,1,1
"156",2019-09-03,4,"派翠克","平民",0,0,0
"157",2019-09-03,5,"李懿","女巫",2,0,0
"158",2019-09-03,6,"莎莎","獵人",6,0,0
"159",2019-09-03,7,"許凱皓","狼王",5,0,1
"160",2019-09-03,8,"嘻小瓜","狼人",3,0,1
"161",2019-09-03,9,"邱鋒澤","預言家",1,0,0
"162",2019-09-03,10,"荳荳","平民",7,0,0
"163",2019-09-02,1,"斯亞","女巫",4,0,1
"164",2019-09-02,2,"孫生","狼王",3,0,0
"165",2019-09-02,3,"小豬","平民",0,0,1
"166",2019-09-02,4,"愷樂","預言家",0,0,1
"167",2019-09-02,5,"駱儀如","狼人",1,0,0
"168",2019-09-02,6,"愷愷","騎士",0,0,1
"169",2019-09-02,7,"篠崎泫","獵人",5,0,1
"170",2019-09-02,8,"小賴","平民",0,0,1
"171",2019-09-02,9,"陳政倫","狼人",6,0,0
"172",2019-09-02,10,"邱鋒澤","平民",2,0,1
"173",2019-08-30,1,"梁以辰","狼人",0,1,1
"174",2019-08-30,2,"偉晉","騎士",6,0,0
"175",2019-08-30,3,"連潔琳","平民",0,0,0
"176",2019-08-30,4,"紀卜心","平民",0,0,0
"177",2019-08-30,5,"袁加樂","女巫",3,0,0
"178",2019-08-30,6,"愷樂","平民",0,0,0
"179",2019-08-30,7,"莊又齊","狼人",2,0,1
"180",2019-08-30,8,"宇辰","預言家",5,0,0
"181",2019-08-30,9,"小豬","獵人",1,0,0
"182",2019-08-30,10,"凱希","狼王",4,0,1
"183",2019-08-28,1,"連潔琳","獵人",3,0,0
